============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/standard-64k.json
  Data: /root/data/
  Steps: 40000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,536
Creating model from scratch...
Architecture: llama
Parameters: 404,800,512 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Loading pre-tokenized data from /root/data/tokens.bin...
  1,269,271,190 tokens memory-mapped from binary
  1,269,271,190 tokens -> 619,761 sequences of 2048

Training from step 0 to 40000...

  step     50/40000 | loss 7.8505 | ppl 2567.1 | 1.6 steps/s | eta 420m
  step   1200/40000 | loss 4.9330 | ppl 138.8 | 1.6 steps/s | eta 398m
  step   1250/40000 | loss 4.6604 | ppl 105.7 | 1.6 steps/s | eta 397m
  step   1300/40000 | loss 4.9082 | ppl 135.4 | 1.6 steps/s | eta 397m
  step   1350/40000 | loss 4.9342 | ppl 139.0 | 1.6 steps/s | eta 396m
  step   1400/40000 | loss 4.6980 | ppl 109.7 | 1.6 steps/s | eta 396m
  step   1450/40000 | loss 4.7965 | ppl 121.1 | 1.6 steps/s | eta 395m
  step   1500/40000 | loss 4.6345 | ppl 103.0 | 1.6 steps/s | eta 395m
  step   1550/40000 | loss 4.8810 | ppl 131.8 | 1.6 steps/s | eta 394m
  step   1600/40000 | loss 4.7849 | ppl 119.7 | 1.6 steps/s | eta 394m
  step   1650/40000 | loss 4.9279 | ppl 138.1 | 1.6 steps/s | eta 393m
  step   1700/40000 | loss 4.6707 | ppl 106.8 | 1.6 steps/s | eta 393m
  step   1750/40000 | loss 4.5125 | ppl 91.1 | 1.6 steps/s | eta 392m
  step   1800/40000 | loss 4.8669 | ppl 129.9 | 1.6 steps/s | eta 392m
  step   1850/40000 | loss 4.7579 | ppl 116.5 | 1.6 steps/s | eta 391m
  step   1900/40000 | loss 4.9514 | ppl 141.4 | 1.6 steps/s | eta 391m
  step   1950/40000 | loss 4.6727 | ppl 107.0 | 1.6 steps/s | eta 390m
  step   2000/40000 | loss 4.5066 | ppl 90.6 | 1.6 steps/s | eta 390m
  step   2050/40000 | loss 4.6887 | ppl 108.7 | 1.6 steps/s | eta 389m
  step   2100/40000 | loss 4.7873 | ppl 120.0 | 1.6 steps/s | eta 388m
  step   2150/40000 | loss 4.5914 | ppl 98.6 | 1.6 steps/s | eta 388m
  step   2200/40000 | loss 4.6283 | ppl 102.3 | 1.6 steps/s | eta 387m
  step   2250/40000 | loss 4.6734 | ppl 107.1 | 1.6 steps/s | eta 387m
  step   2300/40000 | loss 4.3417 | ppl 76.8 | 1.6 steps/s | eta 386m
  step   2350/40000 | loss 4.3696 | ppl 79.0 | 1.6 steps/s | eta 386m
  step   2400/40000 | loss 4.4979 | ppl 89.8 | 1.6 steps/s | eta 385m
  step   2450/40000 | loss 4.5792 | ppl 97.4 | 1.6 steps/s | eta 385m
  step   2500/40000 | loss 4.4651 | ppl 86.9 | 1.6 steps/s | eta 384m
  step   2550/40000 | loss 4.4484 | ppl 85.5 | 1.6 steps/s | eta 384m
  step   2600/40000 | loss 4.4809 | ppl 88.3 | 1.6 steps/s | eta 383m
  step   2650/40000 | loss 4.6393 | ppl 103.5 | 1.6 steps/s | eta 383m
  step   2700/40000 | loss 4.5501 | ppl 94.6 | 1.6 steps/s | eta 382m
  step   2750/40000 | loss 4.6185 | ppl 101.3 | 1.6 steps/s | eta 382m
  step   2800/40000 | loss 4.4318 | ppl 84.1 | 1.6 steps/s | eta 381m
  step   2850/40000 | loss 4.4536 | ppl 85.9 | 1.6 steps/s | eta 381m
  step   2900/40000 | loss 4.4314 | ppl 84.1 | 1.6 steps/s | eta 380m
  step   2950/40000 | loss 4.4788 | ppl 88.1 | 1.6 steps/s | eta 380m
  step   3000/40000 | loss 4.3929 | ppl 80.9 | 1.6 steps/s | eta 379m
  step   3050/40000 | loss 4.4762 | ppl 87.9 | 1.6 steps/s | eta 379m
  step   3100/40000 | loss 4.5729 | ppl 96.8 | 1.6 steps/s | eta 378m
  step   3150/40000 | loss 4.3401 | ppl 76.7 | 1.6 steps/s | eta 378m
  step   3200/40000 | loss 4.5225 | ppl 92.1 | 1.6 steps/s | eta 377m
  step   3250/40000 | loss 4.3992 | ppl 81.4 | 1.6 steps/s | eta 377m
  step   3300/40000 | loss 4.4089 | ppl 82.2 | 1.6 steps/s | eta 376m
  step   3350/40000 | loss 4.3488 | ppl 77.4 | 1.6 steps/s | eta 376m
  step   3400/40000 | loss 4.4576 | ppl 86.3 | 1.6 steps/s | eta 375m
  step   3450/40000 | loss 4.2908 | ppl 73.0 | 1.6 steps/s | eta 375m
  step   3500/40000 | loss 4.3045 | ppl 74.0 | 1.6 steps/s | eta 374m
  step   3550/40000 | loss 4.3887 | ppl 80.5 | 1.6 steps/s | eta 374m
  step   3600/40000 | loss 4.4078 | ppl 82.1 | 1.6 steps/s | eta 373m
  step   3650/40000 | loss 4.3674 | ppl 78.8 | 1.6 steps/s | eta 373m
  step   3700/40000 | loss 4.3878 | ppl 80.5 | 1.6 steps/s | eta 372m
  step   3750/40000 | loss 4.3124 | ppl 74.6 | 1.6 steps/s | eta 372m
  step   3800/40000 | loss 4.2332 | ppl 68.9 | 1.6 steps/s | eta 371m
  step   3850/40000 | loss 4.2483 | ppl 70.0 | 1.6 steps/s | eta 370m
  step   3900/40000 | loss 4.3436 | ppl 77.0 | 1.6 steps/s | eta 370m
  step   3950/40000 | loss 4.1284 | ppl 62.1 | 1.6 steps/s | eta 369m
  step   4000/40000 | loss 4.0977 | ppl 60.2 | 1.6 steps/s | eta 369m
  step   4050/40000 | loss 4.2582 | ppl 70.7 | 1.6 steps/s | eta 368m
  step   4100/40000 | loss 4.5113 | ppl 91.0 | 1.6 steps/s | eta 368m
  step   4150/40000 | loss 4.3162 | ppl 74.9 | 1.6 steps/s | eta 367m
  step   4200/40000 | loss 4.3599 | ppl 78.2 | 1.6 steps/s | eta 367m
  step   4250/40000 | loss 4.3440 | ppl 77.0 | 1.6 steps/s | eta 366m
  step   4300/40000 | loss 4.3482 | ppl 77.3 | 1.6 steps/s | eta 366m
  step   4350/40000 | loss 4.2881 | ppl 72.8 | 1.6 steps/s | eta 365m
  step   4400/40000 | loss 4.1270 | ppl 62.0 | 1.6 steps/s | eta 365m
  step   4450/40000 | loss 4.3008 | ppl 73.8 | 1.6 steps/s | eta 364m
  step   4500/40000 | loss 4.2786 | ppl 72.1 | 1.6 steps/s | eta 364m
  step   4550/40000 | loss 4.1641 | ppl 64.3 | 1.6 steps/s | eta 363m
  step   4600/40000 | loss 4.1588 | ppl 64.0 | 1.6 steps/s | eta 363m
  step   4650/40000 | loss 4.2341 | ppl 69.0 | 1.6 steps/s | eta 362m
  step   4700/40000 | loss 4.2302 | ppl 68.7 | 1.6 steps/s | eta 362m
  step   4750/40000 | loss 4.0859 | ppl 59.5 | 1.6 steps/s | eta 361m
  step   4800/40000 | loss 4.1735 | ppl 64.9 | 1.6 steps/s | eta 361m
  step   4850/40000 | loss 4.0435 | ppl 57.0 | 1.6 steps/s | eta 360m
  step   4900/40000 | loss 4.0603 | ppl 58.0 | 1.6 steps/s | eta 360m
  step   4950/40000 | loss 4.1323 | ppl 62.3 | 1.6 steps/s | eta 359m
  step   5000/40000 | loss 3.9944 | ppl 54.3 | 1.6 steps/s | eta 359m
  Checkpoint saved: checkpoints/step-5000
  Training log synced to R2 (12.1 KB)
  Background upload started for step-5000
  [bg] Uploading checkpoints/run-003-llama-standard/step-5000/checkpoint.pt (4633 MB)...
  step   5050/40000 | loss 4.2618 | ppl 70.9 | 1.6 steps/s | eta 359m
  step   5100/40000 | loss 4.0555 | ppl 57.7 | 1.6 steps/s | eta 358m
  step   5150/40000 | loss 4.1309 | ppl 62.2 | 1.6 steps/s | eta 358m
  step   5200/40000 | loss 4.1662 | ppl 64.5 | 1.6 steps/s | eta 357m
  step   5250/40000 | loss 4.2093 | ppl 67.3 | 1.6 steps/s | eta 357m
  step   5300/40000 | loss 4.3121 | ppl 74.6 | 1.6 steps/s | eta 356m
  step   5350/40000 | loss 4.1759 | ppl 65.1 | 1.6 steps/s | eta 356m
  step   5400/40000 | loss 3.9450 | ppl 51.7 | 1.6 steps/s | eta 355m
  step   5450/40000 | loss 4.2543 | ppl 70.4 | 1.6 steps/s | eta 355m
  step   5500/40000 | loss 4.1886 | ppl 65.9 | 1.6 steps/s | eta 354m
  step   5550/40000 | loss 4.1483 | ppl 63.3 | 1.6 steps/s | eta 354m
  step   5600/40000 | loss 4.1810 | ppl 65.4 | 1.6 steps/s | eta 353m
  step   5650/40000 | loss 4.1145 | ppl 61.2 | 1.6 steps/s | eta 353m
  step   5700/40000 | loss 4.1157 | ppl 61.3 | 1.6 steps/s | eta 352m
  [bg] R2 upload failed: An error occurred (403) when calling the HeadObject operation: Forbidden (keeping local checkpoints)
  step   5750/40000 | loss 4.1194 | ppl 61.5 | 1.6 steps/s | eta 352m
  step   5800/40000 | loss 4.0896 | ppl 59.7 | 1.6 steps/s | eta 351m
  step   5850/40000 | loss 4.0451 | ppl 57.1 | 1.6 steps/s | eta 351m
  step   5900/40000 | loss 4.0351 | ppl 56.5 | 1.6 steps/s | eta 350m
  step   5950/40000 | loss 4.1108 | ppl 61.0 | 1.6 steps/s | eta 350m
  step   6000/40000 | loss 4.2041 | ppl 67.0 | 1.6 steps/s | eta 349m
  step   6050/40000 | loss 4.2385 | ppl 69.3 | 1.6 steps/s | eta 349m
  step   6100/40000 | loss 4.1626 | ppl 64.2 | 1.6 steps/s | eta 348m
  step   6150/40000 | loss 4.0265 | ppl 56.1 | 1.6 steps/s | eta 347m
  step   6200/40000 | loss 4.2831 | ppl 72.5 | 1.6 steps/s | eta 347m
  step   6250/40000 | loss 3.9749 | ppl 53.2 | 1.6 steps/s | eta 346m
  step   6300/40000 | loss 4.0201 | ppl 55.7 | 1.6 steps/s | eta 346m
  step   6350/40000 | loss 4.1051 | ppl 60.7 | 1.6 steps/s | eta 345m
  step   6400/40000 | loss 4.0686 | ppl 58.5 | 1.6 steps/s | eta 345m
  step   6450/40000 | loss 4.0174 | ppl 55.6 | 1.6 steps/s | eta 344m
  step   6500/40000 | loss 3.9496 | ppl 51.9 | 1.6 steps/s | eta 344m
  step   6550/40000 | loss 4.1284 | ppl 62.1 | 1.6 steps/s | eta 343m
  step   6600/40000 | loss 3.9815 | ppl 53.6 | 1.6 steps/s | eta 343m
  step   6650/40000 | loss 3.9733 | ppl 53.2 | 1.6 steps/s | eta 342m
  step   6700/40000 | loss 4.1470 | ppl 63.2 | 1.6 steps/s | eta 342m
  step   6750/40000 | loss 3.8835 | ppl 48.6 | 1.6 steps/s | eta 341m
  step   6800/40000 | loss 3.9078 | ppl 49.8 | 1.6 steps/s | eta 341m
  step   6850/40000 | loss 4.0290 | ppl 56.2 | 1.6 steps/s | eta 340m
  step   6900/40000 | loss 3.9863 | ppl 53.9 | 1.6 steps/s | eta 340m
  step   6950/40000 | loss 4.1246 | ppl 61.8 | 1.6 steps/s | eta 339m
  step   7000/40000 | loss 4.1922 | ppl 66.2 | 1.6 steps/s | eta 339m
  step   7050/40000 | loss 4.0395 | ppl 56.8 | 1.6 steps/s | eta 338m
  step   7100/40000 | loss 4.0247 | ppl 56.0 | 1.6 steps/s | eta 338m
  step   7150/40000 | loss 4.0506 | ppl 57.4 | 1.6 steps/s | eta 337m
  step   7200/40000 | loss 3.9359 | ppl 51.2 | 1.6 steps/s | eta 337m
  step   7250/40000 | loss 3.8799 | ppl 48.4 | 1.6 steps/s | eta 336m
  step   7300/40000 | loss 3.8960 | ppl 49.2 | 1.6 steps/s | eta 336m
  step   7350/40000 | loss 3.8901 | ppl 48.9 | 1.6 steps/s | eta 335m
  step   7400/40000 | loss 3.7686 | ppl 43.3 | 1.6 steps/s | eta 335m
  step   7450/40000 | loss 4.0297 | ppl 56.2 | 1.6 steps/s | eta 334m
  step   7500/40000 | loss 3.9066 | ppl 49.7 | 1.6 steps/s | eta 334m
  step   7550/40000 | loss 3.8134 | ppl 45.3 | 1.6 steps/s | eta 333m
  step   7600/40000 | loss 3.8267 | ppl 45.9 | 1.6 steps/s | eta 332m
  step   7650/40000 | loss 4.0674 | ppl 58.4 | 1.6 steps/s | eta 332m
  step   7700/40000 | loss 4.0563 | ppl 57.8 | 1.6 steps/s | eta 331m
  step   7750/40000 | loss 4.0804 | ppl 59.2 | 1.6 steps/s | eta 331m
  step   7800/40000 | loss 3.9835 | ppl 53.7 | 1.6 steps/s | eta 330m
  step   7850/40000 | loss 3.9595 | ppl 52.4 | 1.6 steps/s | eta 330m
  step   7900/40000 | loss 3.8112 | ppl 45.2 | 1.6 steps/s | eta 329m
  step   7950/40000 | loss 3.8008 | ppl 44.7 | 1.6 steps/s | eta 329m
  step   8000/40000 | loss 3.8183 | ppl 45.5 | 1.6 steps/s | eta 328m
  step   8050/40000 | loss 3.8199 | ppl 45.6 | 1.6 steps/s | eta 328m
  step   8100/40000 | loss 3.9288 | ppl 50.8 | 1.6 steps/s | eta 327m
  step   8150/40000 | loss 3.7282 | ppl 41.6 | 1.6 steps/s | eta 327m
  step   8200/40000 | loss 3.9705 | ppl 53.0 | 1.6 steps/s | eta 326m
  step   8250/40000 | loss 3.8644 | ppl 47.7 | 1.6 steps/s | eta 326m
  step   8300/40000 | loss 3.9161 | ppl 50.2 | 1.6 steps/s | eta 325m
  step   8350/40000 | loss 3.8581 | ppl 47.4 | 1.6 steps/s | eta 325m
  step   8400/40000 | loss 3.8541 | ppl 47.2 | 1.6 steps/s | eta 324m
  step   8450/40000 | loss 3.7974 | ppl 44.6 | 1.6 steps/s | eta 324m
  step   8500/40000 | loss 3.8691 | ppl 47.9 | 1.6 steps/s | eta 323m
  step   8550/40000 | loss 3.9326 | ppl 51.0 | 1.6 steps/s | eta 323m
  step   8600/40000 | loss 3.7524 | ppl 42.6 | 1.6 steps/s | eta 322m
  step   8650/40000 | loss 3.9649 | ppl 52.7 | 1.6 steps/s | eta 322m
  step   8700/40000 | loss 3.7502 | ppl 42.5 | 1.6 steps/s | eta 321m
  step   8750/40000 | loss 3.7786 | ppl 43.8 | 1.6 steps/s | eta 321m
  step   8800/40000 | loss 3.7844 | ppl 44.0 | 1.6 steps/s | eta 320m
  step   8850/40000 | loss 3.9310 | ppl 51.0 | 1.6 steps/s | eta 320m
  step   8900/40000 | loss 3.7337 | ppl 41.8 | 1.6 steps/s | eta 319m
  step   8950/40000 | loss 3.7331 | ppl 41.8 | 1.6 steps/s | eta 319m
  step   9000/40000 | loss 3.8048 | ppl 44.9 | 1.6 steps/s | eta 318m
  step   9050/40000 | loss 3.7509 | ppl 42.6 | 1.6 steps/s | eta 318m
  step   9100/40000 | loss 3.7168 | ppl 41.1 | 1.6 steps/s | eta 317m
  step   9150/40000 | loss 3.6022 | ppl 36.7 | 1.6 steps/s | eta 317m
  step   9200/40000 | loss 3.8925 | ppl 49.0 | 1.6 steps/s | eta 316m
  step   9250/40000 | loss 3.8147 | ppl 45.4 | 1.6 steps/s | eta 315m
  step   9300/40000 | loss 3.9024 | ppl 49.5 | 1.6 steps/s | eta 315m
  step   9350/40000 | loss 3.9217 | ppl 50.5 | 1.6 steps/s | eta 314m
  step   9400/40000 | loss 3.5641 | ppl 35.3 | 1.6 steps/s | eta 314m
  step   9450/40000 | loss 3.8799 | ppl 48.4 | 1.6 steps/s | eta 313m
  step   9500/40000 | loss 3.5262 | ppl 34.0 | 1.6 steps/s | eta 313m
  step   9550/40000 | loss 3.7169 | ppl 41.1 | 1.6 steps/s | eta 312m
  step   9600/40000 | loss 3.7799 | ppl 43.8 | 1.6 steps/s | eta 312m
  step   9650/40000 | loss 3.8091 | ppl 45.1 | 1.6 steps/s | eta 311m
  step   9700/40000 | loss 3.8529 | ppl 47.1 | 1.6 steps/s | eta 311m
  step   9750/40000 | loss 3.7749 | ppl 43.6 | 1.6 steps/s | eta 310m
  step   9800/40000 | loss 3.7363 | ppl 41.9 | 1.6 steps/s | eta 310m
  step   9850/40000 | loss 3.8129 | ppl 45.3 | 1.6 steps/s | eta 309m
  step   9900/40000 | loss 3.6215 | ppl 37.4 | 1.6 steps/s | eta 309m
  step   9950/40000 | loss 3.7111 | ppl 40.9 | 1.6 steps/s | eta 308m
  step  10000/40000 | loss 3.6910 | ppl 40.1 | 1.6 steps/s | eta 308m
  Checkpoint saved: checkpoints/step-10000
  Training log synced to R2 (24.2 KB)
  Background upload started for step-10000
  [bg] Uploading checkpoints/run-003-llama-standard/step-10000/checkpoint.pt (4633 MB)...
  step  10050/40000 | loss 3.7344 | ppl 41.9 | 1.6 steps/s | eta 308m
  step  10100/40000 | loss 3.6314 | ppl 37.8 | 1.6 steps/s | eta 307m
  step  10150/40000 | loss 3.7963 | ppl 44.5 | 1.6 steps/s | eta 307m
  step  10200/40000 | loss 3.5418 | ppl 34.5 | 1.6 steps/s | eta 306m
  step  10250/40000 | loss 3.6842 | ppl 39.8 | 1.6 steps/s | eta 305m
  step  10300/40000 | loss 3.7513 | ppl 42.6 | 1.6 steps/s | eta 305m
  step  10350/40000 | loss 3.8253 | ppl 45.8 | 1.6 steps/s | eta 304m
  step  10400/40000 | loss 3.6945 | ppl 40.2 | 1.6 steps/s | eta 304m
  step  10450/40000 | loss 3.6306 | ppl 37.7 | 1.6 steps/s | eta 303m
  step  10500/40000 | loss 3.6993 | ppl 40.4 | 1.6 steps/s | eta 303m
  step  10550/40000 | loss 3.6657 | ppl 39.1 | 1.6 steps/s | eta 302m
  [bg] R2 upload failed: An error occurred (403) when calling the HeadObject operation: Forbidden (keeping local checkpoints)
  step  10600/40000 | loss 3.4165 | ppl 30.5 | 1.6 steps/s | eta 302m
  step  10650/40000 | loss 3.6959 | ppl 40.3 | 1.6 steps/s | eta 301m
  step  10700/40000 | loss 3.7469 | ppl 42.4 | 1.6 steps/s | eta 301m
  step  10750/40000 | loss 3.6200 | ppl 37.3 | 1.6 steps/s | eta 300m
  step  10800/40000 | loss 3.7117 | ppl 40.9 | 1.6 steps/s | eta 300m
  step  10850/40000 | loss 3.4763 | ppl 32.3 | 1.6 steps/s | eta 299m
  step  10900/40000 | loss 3.8086 | ppl 45.1 | 1.6 steps/s | eta 299m
  step  10950/40000 | loss 3.5198 | ppl 33.8 | 1.6 steps/s | eta 298m
  step  11000/40000 | loss 3.7081 | ppl 40.8 | 1.6 steps/s | eta 298m
  step  11050/40000 | loss 3.7111 | ppl 40.9 | 1.6 steps/s | eta 297m
  step  11100/40000 | loss 3.5555 | ppl 35.0 | 1.6 steps/s | eta 297m
  step  11150/40000 | loss 3.6580 | ppl 38.8 | 1.6 steps/s | eta 296m
  step  11200/40000 | loss 3.6061 | ppl 36.8 | 1.6 steps/s | eta 296m
  step  11250/40000 | loss 3.5343 | ppl 34.3 | 1.6 steps/s | eta 295m
  step  11300/40000 | loss 3.5299 | ppl 34.1 | 1.6 steps/s | eta 295m
  step  11350/40000 | loss 3.6563 | ppl 38.7 | 1.6 steps/s | eta 294m
  step  11400/40000 | loss 3.6432 | ppl 38.2 | 1.6 steps/s | eta 294m
  step  11450/40000 | loss 3.5782 | ppl 35.8 | 1.6 steps/s | eta 293m
  step  11500/40000 | loss 3.6693 | ppl 39.2 | 1.6 steps/s | eta 293m
  step  11550/40000 | loss 3.5962 | ppl 36.5 | 1.6 steps/s | eta 292m
  step  11600/40000 | loss 3.6005 | ppl 36.6 | 1.6 steps/s | eta 292m
  step  11650/40000 | loss 3.5153 | ppl 33.6 | 1.6 steps/s | eta 291m
  step  11700/40000 | loss 3.6058 | ppl 36.8 | 1.6 steps/s | eta 291m
  step  11750/40000 | loss 3.5929 | ppl 36.3 | 1.6 steps/s | eta 290m
  step  11800/40000 | loss 3.5556 | ppl 35.0 | 1.6 steps/s | eta 289m
  step  11850/40000 | loss 3.4363 | ppl 31.1 | 1.6 steps/s | eta 289m
  step  11900/40000 | loss 3.6189 | ppl 37.3 | 1.6 steps/s | eta 288m
  step  11950/40000 | loss 3.5493 | ppl 34.8 | 1.6 steps/s | eta 288m
  step  12000/40000 | loss 3.2740 | ppl 26.4 | 1.6 steps/s | eta 287m
  step  12050/40000 | loss 3.6772 | ppl 39.5 | 1.6 steps/s | eta 287m
  step  12100/40000 | loss 3.6227 | ppl 37.4 | 1.6 steps/s | eta 286m
  step  12150/40000 | loss 3.6378 | ppl 38.0 | 1.6 steps/s | eta 286m
  step  12200/40000 | loss 3.4838 | ppl 32.6 | 1.6 steps/s | eta 285m
  step  12250/40000 | loss 3.2538 | ppl 25.9 | 1.6 steps/s | eta 285m
  step  12300/40000 | loss 3.4308 | ppl 30.9 | 1.6 steps/s | eta 284m
  step  12350/40000 | loss 3.4083 | ppl 30.2 | 1.6 steps/s | eta 284m
  step  12400/40000 | loss 3.6376 | ppl 38.0 | 1.6 steps/s | eta 283m
  step  12450/40000 | loss 3.4302 | ppl 30.9 | 1.6 steps/s | eta 283m
  step  12500/40000 | loss 3.7291 | ppl 41.6 | 1.6 steps/s | eta 282m
  step  12550/40000 | loss 3.3759 | ppl 29.3 | 1.6 steps/s | eta 282m
  step  12600/40000 | loss 3.3844 | ppl 29.5 | 1.6 steps/s | eta 281m
  step  12650/40000 | loss 3.4892 | ppl 32.8 | 1.6 steps/s | eta 281m
  step  12700/40000 | loss 3.4391 | ppl 31.2 | 1.6 steps/s | eta 280m
  step  12750/40000 | loss 3.4017 | ppl 30.0 | 1.6 steps/s | eta 280m
  step  12800/40000 | loss 3.7469 | ppl 42.4 | 1.6 steps/s | eta 279m
  step  12850/40000 | loss 3.5096 | ppl 33.4 | 1.6 steps/s | eta 279m
  step  12900/40000 | loss 3.4881 | ppl 32.7 | 1.6 steps/s | eta 278m
  step  12950/40000 | loss 3.6211 | ppl 37.4 | 1.6 steps/s | eta 278m
  step  13000/40000 | loss 3.4942 | ppl 32.9 | 1.6 steps/s | eta 277m
  step  13050/40000 | loss 3.2178 | ppl 25.0 | 1.6 steps/s | eta 277m
  step  13100/40000 | loss 3.5965 | ppl 36.5 | 1.6 steps/s | eta 276m
  step  13150/40000 | loss 3.5812 | ppl 35.9 | 1.6 steps/s | eta 276m
  step  13200/40000 | loss 3.5046 | ppl 33.3 | 1.6 steps/s | eta 275m
  step  13250/40000 | loss 3.5066 | ppl 33.3 | 1.6 steps/s | eta 275m
  step  13300/40000 | loss 3.2722 | ppl 26.4 | 1.6 steps/s | eta 274m
  step  13350/40000 | loss 3.4394 | ppl 31.2 | 1.6 steps/s | eta 274m
  step  13400/40000 | loss 3.4653 | ppl 32.0 | 1.6 steps/s | eta 273m
  step  13450/40000 | loss 3.5521 | ppl 34.9 | 1.6 steps/s | eta 272m
  step  13500/40000 | loss 3.5439 | ppl 34.6 | 1.6 steps/s | eta 272m
  step  13550/40000 | loss 3.4529 | ppl 31.6 | 1.6 steps/s | eta 271m
  step  13600/40000 | loss 3.5466 | ppl 34.7 | 1.6 steps/s | eta 271m
  step  13650/40000 | loss 3.4860 | ppl 32.7 | 1.6 steps/s | eta 270m
  step  13700/40000 | loss 3.5069 | ppl 33.3 | 1.6 steps/s | eta 270m
  step  13750/40000 | loss 3.6236 | ppl 37.5 | 1.6 steps/s | eta 269m
  step  13800/40000 | loss 3.7021 | ppl 40.5 | 1.6 steps/s | eta 269m
  step  13850/40000 | loss 3.5326 | ppl 34.2 | 1.6 steps/s | eta 268m
  step  13900/40000 | loss 3.4401 | ppl 31.2 | 1.6 steps/s | eta 268m
  step  13950/40000 | loss 3.5590 | ppl 35.1 | 1.6 steps/s | eta 267m
  step  14000/40000 | loss 3.3114 | ppl 27.4 | 1.6 steps/s | eta 267m
  step  14050/40000 | loss 3.2698 | ppl 26.3 | 1.6 steps/s | eta 266m
  step  14100/40000 | loss 3.5191 | ppl 33.8 | 1.6 steps/s | eta 266m
  step  14150/40000 | loss 3.4477 | ppl 31.4 | 1.6 steps/s | eta 265m
  step  14200/40000 | loss 3.4630 | ppl 31.9 | 1.6 steps/s | eta 265m
  step  14250/40000 | loss 3.6463 | ppl 38.3 | 1.6 steps/s | eta 264m
  step  14300/40000 | loss 3.5067 | ppl 33.3 | 1.6 steps/s | eta 264m
  step  14350/40000 | loss 3.6001 | ppl 36.6 | 1.6 steps/s | eta 263m
  step  14400/40000 | loss 3.2261 | ppl 25.2 | 1.6 steps/s | eta 263m
  step  14450/40000 | loss 3.5117 | ppl 33.5 | 1.6 steps/s | eta 262m
  step  14500/40000 | loss 3.4289 | ppl 30.8 | 1.6 steps/s | eta 262m
  step  14550/40000 | loss 3.5402 | ppl 34.5 | 1.6 steps/s | eta 261m
  step  14600/40000 | loss 3.5039 | ppl 33.2 | 1.6 steps/s | eta 261m
  step  14650/40000 | loss 3.5581 | ppl 35.1 | 1.6 steps/s | eta 260m
  step  14700/40000 | loss 3.4546 | ppl 31.6 | 1.6 steps/s | eta 260m
  step  14750/40000 | loss 3.4697 | ppl 32.1 | 1.6 steps/s | eta 259m
  step  14800/40000 | loss 3.4061 | ppl 30.1 | 1.6 steps/s | eta 259m
  step  14850/40000 | loss 3.4775 | ppl 32.4 | 1.6 steps/s | eta 258m
