============================================================
structok model training
  Size: 410m-llama (1024h 24L 16H 4KV llama)
  Device: cuda:0 (single)
  Tokenizer: /root/structok-64k.json
  Data: /root/data/
  Steps: 20000
  Batch size: 8 per GPU (8 effective)
  Checkpoint every: 5000 steps
============================================================

Tokenizer vocab: 65,539
Creating model from scratch...
Architecture: llama
Parameters: 404,806,656 (404.8M)
  Gradient checkpointing: disabled (faster)
  Mixed precision: fp16
Loading pre-tokenized data from /root/data/tokens.bin...
  1,258,728,671 tokens memory-mapped from binary
  1,258,728,671 tokens -> 614,613 sequences of 2048

Training from step 0 to 20000...

  step     50/20000 | loss 7.6131 | ppl 2024.5 | 1.5 steps/s | eta 216m
  step   4250/20000 | loss 4.4421 | ppl 85.0 | 1.5 steps/s | eta 180m
  step   4300/20000 | loss 4.5967 | ppl 99.2 | 1.5 steps/s | eta 179m
  step   4350/20000 | loss 4.5756 | ppl 97.1 | 1.5 steps/s | eta 179m
  step   4400/20000 | loss 4.3284 | ppl 75.8 | 1.5 steps/s | eta 178m
  step   4450/20000 | loss 4.2728 | ppl 71.7 | 1.5 steps/s | eta 178m
  step   4500/20000 | loss 4.5295 | ppl 92.7 | 1.5 steps/s | eta 177m
  step   4550/20000 | loss 4.4107 | ppl 82.3 | 1.5 steps/s | eta 177m
  step   4600/20000 | loss 4.3466 | ppl 77.2 | 1.5 steps/s | eta 176m
  step   4650/20000 | loss 4.4584 | ppl 86.3 | 1.5 steps/s | eta 176m
  step   4700/20000 | loss 4.4934 | ppl 89.4 | 1.5 steps/s | eta 175m
  step   4750/20000 | loss 4.5237 | ppl 92.2 | 1.5 steps/s | eta 174m
  step   4800/20000 | loss 4.3838 | ppl 80.1 | 1.5 steps/s | eta 174m
  step   4850/20000 | loss 4.3226 | ppl 75.4 | 1.5 steps/s | eta 173m
  step   4900/20000 | loss 4.3512 | ppl 77.6 | 1.5 steps/s | eta 173m
  step   4950/20000 | loss 4.3630 | ppl 78.5 | 1.5 steps/s | eta 172m
  step   5000/20000 | loss 4.3830 | ppl 80.1 | 1.5 steps/s | eta 172m
  Checkpoint saved: checkpoints/step-5000
  Background upload started for step-5000
  step   5050/20000 | loss 4.4207 | ppl 83.2 | 1.5 steps/s | eta 171m
  step   5100/20000 | loss 4.3008 | ppl 73.8 | 1.5 steps/s | eta 171m
  step   5150/20000 | loss 4.2176 | ppl 67.9 | 1.5 steps/s | eta 170m
  step   5200/20000 | loss 4.3565 | ppl 78.0 | 1.5 steps/s | eta 169m
  step   5250/20000 | loss 4.3183 | ppl 75.1 | 1.5 steps/s | eta 169m
  step   5300/20000 | loss 4.3974 | ppl 81.2 | 1.5 steps/s | eta 168m
  step   5350/20000 | loss 4.5343 | ppl 93.2 | 1.5 steps/s | eta 168m
  step   5400/20000 | loss 4.1081 | ppl 60.8 | 1.5 steps/s | eta 167m
  step   5450/20000 | loss 4.2479 | ppl 70.0 | 1.5 steps/s | eta 167m
  step   5500/20000 | loss 4.2783 | ppl 72.1 | 1.5 steps/s | eta 166m
  step   5550/20000 | loss 4.2141 | ppl 67.6 | 1.5 steps/s | eta 165m
  step   5600/20000 | loss 4.3244 | ppl 75.5 | 1.5 steps/s | eta 165m
  step   5650/20000 | loss 4.3129 | ppl 74.7 | 1.5 steps/s | eta 164m
  step   5700/20000 | loss 4.1372 | ppl 62.6 | 1.5 steps/s | eta 164m
  step   5750/20000 | loss 4.0988 | ppl 60.3 | 1.5 steps/s | eta 163m
  step   5800/20000 | loss 4.3777 | ppl 79.7 | 1.5 steps/s | eta 163m
  step   5850/20000 | loss 4.0523 | ppl 57.5 | 1.5 steps/s | eta 162m
  step   5900/20000 | loss 4.1346 | ppl 62.5 | 1.5 steps/s | eta 161m
  step   5950/20000 | loss 4.1143 | ppl 61.2 | 1.5 steps/s | eta 161m
  step   6000/20000 | loss 4.2592 | ppl 70.8 | 1.5 steps/s | eta 160m
  step   6050/20000 | loss 4.2738 | ppl 71.8 | 1.5 steps/s | eta 160m
  step   6100/20000 | loss 4.3037 | ppl 74.0 | 1.5 steps/s | eta 159m
  step   6150/20000 | loss 4.2135 | ppl 67.6 | 1.5 steps/s | eta 159m
  step   6200/20000 | loss 4.4641 | ppl 86.8 | 1.5 steps/s | eta 158m
  step   6250/20000 | loss 4.1565 | ppl 63.8 | 1.5 steps/s | eta 157m
  step   6300/20000 | loss 3.9891 | ppl 54.0 | 1.5 steps/s | eta 157m
  step   6350/20000 | loss 4.1333 | ppl 62.4 | 1.5 steps/s | eta 156m
  step   6400/20000 | loss 4.2068 | ppl 67.1 | 1.5 steps/s | eta 156m
  step   6450/20000 | loss 4.0926 | ppl 59.9 | 1.5 steps/s | eta 155m
  step   6500/20000 | loss 4.2895 | ppl 72.9 | 1.5 steps/s | eta 155m
  step   6550/20000 | loss 4.0669 | ppl 58.4 | 1.5 steps/s | eta 154m
  step   6600/20000 | loss 4.0876 | ppl 59.6 | 1.5 steps/s | eta 153m
  step   6650/20000 | loss 4.1268 | ppl 62.0 | 1.5 steps/s | eta 153m
  step   6700/20000 | loss 4.1806 | ppl 65.4 | 1.5 steps/s | eta 152m
  step   6750/20000 | loss 3.9847 | ppl 53.8 | 1.5 steps/s | eta 152m
  step   6800/20000 | loss 4.2452 | ppl 69.8 | 1.5 steps/s | eta 151m
  step   6850/20000 | loss 4.0450 | ppl 57.1 | 1.5 steps/s | eta 150m
  step   6900/20000 | loss 4.2629 | ppl 71.0 | 1.5 steps/s | eta 150m
  step   6950/20000 | loss 4.0551 | ppl 57.7 | 1.5 steps/s | eta 149m
  step   7000/20000 | loss 4.1367 | ppl 62.6 | 1.5 steps/s | eta 149m
  step   7050/20000 | loss 3.9830 | ppl 53.7 | 1.5 steps/s | eta 148m
  step   7100/20000 | loss 4.3029 | ppl 73.9 | 1.5 steps/s | eta 148m
  step   7150/20000 | loss 4.1366 | ppl 62.6 | 1.5 steps/s | eta 147m
  step   7200/20000 | loss 4.1624 | ppl 64.2 | 1.5 steps/s | eta 146m
  step   7250/20000 | loss 4.3415 | ppl 76.8 | 1.5 steps/s | eta 146m
  step   7300/20000 | loss 4.0142 | ppl 55.4 | 1.5 steps/s | eta 145m
  step   7350/20000 | loss 4.0970 | ppl 60.2 | 1.5 steps/s | eta 145m
  step   7400/20000 | loss 4.0483 | ppl 57.3 | 1.5 steps/s | eta 144m
  step   7450/20000 | loss 4.0281 | ppl 56.2 | 1.5 steps/s | eta 144m
  step   7500/20000 | loss 4.0637 | ppl 58.2 | 1.5 steps/s | eta 143m
  step   7550/20000 | loss 4.0058 | ppl 54.9 | 1.5 steps/s | eta 142m
  step   7600/20000 | loss 4.0538 | ppl 57.6 | 1.5 steps/s | eta 142m
  step   7650/20000 | loss 4.0244 | ppl 55.9 | 1.5 steps/s | eta 141m
  step   7700/20000 | loss 4.1761 | ppl 65.1 | 1.5 steps/s | eta 141m
  step   7750/20000 | loss 3.9873 | ppl 53.9 | 1.5 steps/s | eta 140m
  step   7800/20000 | loss 4.1286 | ppl 62.1 | 1.5 steps/s | eta 140m
  step   7850/20000 | loss 4.0425 | ppl 57.0 | 1.5 steps/s | eta 139m
  step   7900/20000 | loss 4.0610 | ppl 58.0 | 1.5 steps/s | eta 139m
  step   7950/20000 | loss 3.9900 | ppl 54.1 | 1.5 steps/s | eta 138m
  step   8000/20000 | loss 3.9981 | ppl 54.5 | 1.5 steps/s | eta 137m
  step   8050/20000 | loss 4.1841 | ppl 65.6 | 1.5 steps/s | eta 137m
  step   8100/20000 | loss 3.8348 | ppl 46.3 | 1.5 steps/s | eta 136m
  step   8150/20000 | loss 3.9360 | ppl 51.2 | 1.5 steps/s | eta 136m
  step   8200/20000 | loss 4.1069 | ppl 60.8 | 1.5 steps/s | eta 135m
  step   8250/20000 | loss 4.1543 | ppl 63.7 | 1.5 steps/s | eta 135m
  step   8300/20000 | loss 4.0603 | ppl 58.0 | 1.5 steps/s | eta 134m
  step   8350/20000 | loss 3.9339 | ppl 51.1 | 1.5 steps/s | eta 133m
  step   8400/20000 | loss 3.9192 | ppl 50.4 | 1.5 steps/s | eta 133m
  step   8450/20000 | loss 3.9610 | ppl 52.5 | 1.5 steps/s | eta 132m
  step   8500/20000 | loss 3.7683 | ppl 43.3 | 1.5 steps/s | eta 132m
  step   8550/20000 | loss 3.8376 | ppl 46.4 | 1.5 steps/s | eta 131m
  step   8600/20000 | loss 3.9508 | ppl 52.0 | 1.5 steps/s | eta 131m
  step   8650/20000 | loss 3.7336 | ppl 41.8 | 1.5 steps/s | eta 130m
  step   8700/20000 | loss 3.9676 | ppl 52.9 | 1.5 steps/s | eta 129m
  step   8750/20000 | loss 3.6824 | ppl 39.7 | 1.5 steps/s | eta 129m
  step   8800/20000 | loss 3.8889 | ppl 48.9 | 1.5 steps/s | eta 128m
  step   8850/20000 | loss 3.9580 | ppl 52.4 | 1.5 steps/s | eta 128m
  step   8900/20000 | loss 3.8582 | ppl 47.4 | 1.5 steps/s | eta 127m
  step   8950/20000 | loss 4.0446 | ppl 57.1 | 1.5 steps/s | eta 127m
  step   9000/20000 | loss 3.8295 | ppl 46.0 | 1.5 steps/s | eta 126m
  step   9050/20000 | loss 4.1744 | ppl 65.0 | 1.5 steps/s | eta 125m
  step   9100/20000 | loss 3.9340 | ppl 51.1 | 1.5 steps/s | eta 125m
  step   9150/20000 | loss 3.7878 | ppl 44.2 | 1.5 steps/s | eta 124m
  step   9200/20000 | loss 3.7770 | ppl 43.7 | 1.5 steps/s | eta 124m
  step   9250/20000 | loss 4.0253 | ppl 56.0 | 1.5 steps/s | eta 123m
  step   9300/20000 | loss 3.8977 | ppl 49.3 | 1.5 steps/s | eta 123m
  step   9350/20000 | loss 3.7156 | ppl 41.1 | 1.5 steps/s | eta 122m
  step   9400/20000 | loss 3.9892 | ppl 54.0 | 1.5 steps/s | eta 121m
  step   9450/20000 | loss 3.8687 | ppl 47.9 | 1.5 steps/s | eta 121m
  step   9500/20000 | loss 3.9638 | ppl 52.7 | 1.5 steps/s | eta 120m
  step   9550/20000 | loss 3.9038 | ppl 49.6 | 1.5 steps/s | eta 120m
  step   9600/20000 | loss 3.7737 | ppl 43.5 | 1.5 steps/s | eta 119m
  step   9650/20000 | loss 3.8871 | ppl 48.8 | 1.5 steps/s | eta 119m
  step   9700/20000 | loss 3.8472 | ppl 46.9 | 1.5 steps/s | eta 118m
  step   9750/20000 | loss 3.7514 | ppl 42.6 | 1.5 steps/s | eta 117m
  step   9800/20000 | loss 3.6863 | ppl 39.9 | 1.5 steps/s | eta 117m
  step   9850/20000 | loss 3.7918 | ppl 44.3 | 1.5 steps/s | eta 116m
  step   9900/20000 | loss 4.0279 | ppl 56.1 | 1.5 steps/s | eta 116m
  step   9950/20000 | loss 3.7577 | ppl 42.8 | 1.5 steps/s | eta 115m
  step  10000/20000 | loss 4.0167 | ppl 55.5 | 1.5 steps/s | eta 115m
  Checkpoint saved: checkpoints/step-10000
  Background upload started for step-10000
  step  10050/20000 | loss 3.9386 | ppl 51.3 | 1.5 steps/s | eta 114m
  step  10100/20000 | loss 4.0701 | ppl 58.6 | 1.5 steps/s | eta 114m
  step  10150/20000 | loss 3.7138 | ppl 41.0 | 1.5 steps/s | eta 113m
  step  10200/20000 | loss 3.9179 | ppl 50.3 | 1.5 steps/s | eta 112m
  step  10250/20000 | loss 3.8985 | ppl 49.3 | 1.5 steps/s | eta 112m
  step  10300/20000 | loss 3.8679 | ppl 47.8 | 1.5 steps/s | eta 111m
  step  10350/20000 | loss 3.8009 | ppl 44.7 | 1.5 steps/s | eta 111m
  step  10400/20000 | loss 3.7669 | ppl 43.2 | 1.5 steps/s | eta 110m
  step  10450/20000 | loss 3.8537 | ppl 47.2 | 1.5 steps/s | eta 110m
  step  10500/20000 | loss 3.7698 | ppl 43.4 | 1.5 steps/s | eta 109m
  step  10550/20000 | loss 3.7720 | ppl 43.5 | 1.5 steps/s | eta 108m
  step  10600/20000 | loss 3.6672 | ppl 39.1 | 1.5 steps/s | eta 108m
  step  10650/20000 | loss 3.8569 | ppl 47.3 | 1.5 steps/s | eta 107m
  step  10700/20000 | loss 3.8500 | ppl 47.0 | 1.5 steps/s | eta 107m
  step  10750/20000 | loss 3.6614 | ppl 38.9 | 1.5 steps/s | eta 106m
  step  10800/20000 | loss 3.6367 | ppl 38.0 | 1.5 steps/s | eta 106m
  step  10850/20000 | loss 3.5271 | ppl 34.0 | 1.5 steps/s | eta 105m
  step  10900/20000 | loss 3.8362 | ppl 46.4 | 1.5 steps/s | eta 104m
  step  10950/20000 | loss 3.7695 | ppl 43.4 | 1.5 steps/s | eta 104m
  step  11000/20000 | loss 3.8022 | ppl 44.8 | 1.5 steps/s | eta 103m
  step  11050/20000 | loss 3.9013 | ppl 49.5 | 1.5 steps/s | eta 103m
  step  11100/20000 | loss 3.7557 | ppl 42.8 | 1.5 steps/s | eta 102m
  step  11150/20000 | loss 3.9223 | ppl 50.5 | 1.5 steps/s | eta 102m
  step  11200/20000 | loss 3.9060 | ppl 49.7 | 1.5 steps/s | eta 101m
  step  11250/20000 | loss 3.6690 | ppl 39.2 | 1.5 steps/s | eta 100m
  step  11300/20000 | loss 3.9294 | ppl 50.9 | 1.5 steps/s | eta 100m
  step  11350/20000 | loss 3.8111 | ppl 45.2 | 1.5 steps/s | eta 99m
  step  11400/20000 | loss 3.8859 | ppl 48.7 | 1.5 steps/s | eta 99m
  step  11450/20000 | loss 3.6460 | ppl 38.3 | 1.5 steps/s | eta 98m
  step  11500/20000 | loss 3.7171 | ppl 41.1 | 1.5 steps/s | eta 98m
  step  11550/20000 | loss 3.7466 | ppl 42.4 | 1.5 steps/s | eta 97m
  step  11600/20000 | loss 3.6472 | ppl 38.4 | 1.5 steps/s | eta 96m
  step  11650/20000 | loss 3.6412 | ppl 38.1 | 1.5 steps/s | eta 96m
  step  11700/20000 | loss 3.6798 | ppl 39.6 | 1.5 steps/s | eta 95m
  step  11750/20000 | loss 3.7979 | ppl 44.6 | 1.5 steps/s | eta 95m
  step  11800/20000 | loss 3.5757 | ppl 35.7 | 1.5 steps/s | eta 94m
  step  11850/20000 | loss 3.9499 | ppl 51.9 | 1.5 steps/s | eta 94m
  step  11900/20000 | loss 3.6806 | ppl 39.7 | 1.5 steps/s | eta 93m
  step  11950/20000 | loss 3.5768 | ppl 35.8 | 1.5 steps/s | eta 92m
  step  12000/20000 | loss 3.5068 | ppl 33.3 | 1.5 steps/s | eta 92m
  step  12050/20000 | loss 3.6588 | ppl 38.8 | 1.5 steps/s | eta 91m
  step  12100/20000 | loss 3.7219 | ppl 41.3 | 1.5 steps/s | eta 91m
  step  12150/20000 | loss 3.7406 | ppl 42.1 | 1.5 steps/s | eta 90m
  step  12200/20000 | loss 3.7148 | ppl 41.0 | 1.5 steps/s | eta 90m
  step  12250/20000 | loss 3.7911 | ppl 44.3 | 1.5 steps/s | eta 89m
  step  12300/20000 | loss 3.6225 | ppl 37.4 | 1.5 steps/s | eta 88m
  step  12350/20000 | loss 3.7010 | ppl 40.5 | 1.5 steps/s | eta 88m
  step  12400/20000 | loss 3.7782 | ppl 43.7 | 1.5 steps/s | eta 87m
  step  12450/20000 | loss 3.5917 | ppl 36.3 | 1.5 steps/s | eta 87m
  step  12500/20000 | loss 3.6581 | ppl 38.8 | 1.5 steps/s | eta 86m
  step  12550/20000 | loss 3.6612 | ppl 38.9 | 1.5 steps/s | eta 86m
  step  12600/20000 | loss 3.5694 | ppl 35.5 | 1.5 steps/s | eta 85m
  step  12650/20000 | loss 3.7047 | ppl 40.6 | 1.5 steps/s | eta 84m
  step  12700/20000 | loss 3.6042 | ppl 36.8 | 1.5 steps/s | eta 84m
  step  12750/20000 | loss 3.4912 | ppl 32.8 | 1.5 steps/s | eta 83m
  step  12800/20000 | loss 3.6897 | ppl 40.0 | 1.4 steps/s | eta 83m
  step  12850/20000 | loss 3.7106 | ppl 40.9 | 1.4 steps/s | eta 82m
  step  12900/20000 | loss 3.5141 | ppl 33.6 | 1.4 steps/s | eta 82m
  step  12950/20000 | loss 3.7272 | ppl 41.6 | 1.4 steps/s | eta 81m
  step  13000/20000 | loss 3.8155 | ppl 45.4 | 1.4 steps/s | eta 80m
  step  13050/20000 | loss 3.6334 | ppl 37.8 | 1.4 steps/s | eta 80m
  step  13100/20000 | loss 3.7267 | ppl 41.5 | 1.4 steps/s | eta 79m
  step  13150/20000 | loss 3.6991 | ppl 40.4 | 1.4 steps/s | eta 79m
  step  13200/20000 | loss 3.7462 | ppl 42.4 | 1.4 steps/s | eta 78m
  step  13250/20000 | loss 3.5970 | ppl 36.5 | 1.4 steps/s | eta 78m
  step  13300/20000 | loss 3.5601 | ppl 35.2 | 1.4 steps/s | eta 77m
  step  13350/20000 | loss 3.6173 | ppl 37.2 | 1.4 steps/s | eta 76m
  step  13400/20000 | loss 3.6374 | ppl 38.0 | 1.4 steps/s | eta 76m
  step  13450/20000 | loss 3.6298 | ppl 37.7 | 1.4 steps/s | eta 75m
  step  13500/20000 | loss 3.6054 | ppl 36.8 | 1.4 steps/s | eta 75m
  step  13550/20000 | loss 3.6179 | ppl 37.3 | 1.4 steps/s | eta 74m
  step  13600/20000 | loss 3.5216 | ppl 33.8 | 1.4 steps/s | eta 74m
  step  13650/20000 | loss 3.6680 | ppl 39.2 | 1.4 steps/s | eta 73m
  step  13700/20000 | loss 3.6906 | ppl 40.1 | 1.4 steps/s | eta 72m
  step  13750/20000 | loss 3.5291 | ppl 34.1 | 1.4 steps/s | eta 72m
  step  13800/20000 | loss 3.6900 | ppl 40.0 | 1.4 steps/s | eta 71m
  step  13850/20000 | loss 3.5211 | ppl 33.8 | 1.4 steps/s | eta 71m
  step  13900/20000 | loss 3.7905 | ppl 44.3 | 1.4 steps/s | eta 70m
  step  13950/20000 | loss 3.5599 | ppl 35.2 | 1.4 steps/s | eta 70m
  step  14000/20000 | loss 3.4614 | ppl 31.9 | 1.4 steps/s | eta 69m
  step  14050/20000 | loss 3.7402 | ppl 42.1 | 1.4 steps/s | eta 68m
  step  14100/20000 | loss 3.7984 | ppl 44.6 | 1.4 steps/s | eta 68m
  step  14150/20000 | loss 3.6233 | ppl 37.5 | 1.4 steps/s | eta 67m
  step  14200/20000 | loss 3.6330 | ppl 37.8 | 1.4 steps/s | eta 67m
  step  14250/20000 | loss 3.6726 | ppl 39.4 | 1.4 steps/s | eta 66m
  step  14300/20000 | loss 3.5599 | ppl 35.2 | 1.4 steps/s | eta 66m
  step  14350/20000 | loss 3.5657 | ppl 35.4 | 1.4 steps/s | eta 65m
  step  14400/20000 | loss 3.5770 | ppl 35.8 | 1.4 steps/s | eta 64m
  step  14450/20000 | loss 3.6741 | ppl 39.4 | 1.4 steps/s | eta 64m
  step  14500/20000 | loss 3.5106 | ppl 33.5 | 1.4 steps/s | eta 63m
  step  14550/20000 | loss 3.6217 | ppl 37.4 | 1.4 steps/s | eta 63m
  step  14600/20000 | loss 3.7076 | ppl 40.8 | 1.4 steps/s | eta 62m
  step  14650/20000 | loss 3.5189 | ppl 33.7 | 1.4 steps/s | eta 62m
  step  14700/20000 | loss 3.5871 | ppl 36.1 | 1.4 steps/s | eta 61m
  step  14750/20000 | loss 3.6175 | ppl 37.2 | 1.4 steps/s | eta 60m
  step  14800/20000 | loss 3.4218 | ppl 30.6 | 1.4 steps/s | eta 60m
  step  14850/20000 | loss 3.6741 | ppl 39.4 | 1.4 steps/s | eta 59m
  step  14900/20000 | loss 3.5123 | ppl 33.5 | 1.4 steps/s | eta 59m
  step  14950/20000 | loss 3.7706 | ppl 43.4 | 1.4 steps/s | eta 58m
  step  15000/20000 | loss 3.6342 | ppl 37.9 | 1.4 steps/s | eta 58m
  Checkpoint saved: checkpoints/step-15000
  Background upload started for step-15000
  step  15050/20000 | loss 3.5469 | ppl 34.7 | 1.4 steps/s | eta 57m
